28316;Harestua;harestua;7600610;;60.192408;10.723807;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600117;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOAAY;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28316
28317;Grua;grua;7600612;;60.259368;10.665;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600169;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABA;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28317
28318;Roa;roa;7600613;;60.283468;10.621438;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600062;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABB;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28318
28319;Lunner;lunner;7600614;;60.304638;10.584807;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600170;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABC;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28319
28320;Gran;gran;7600615;;60.359337;10.56975;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600171;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABD;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28320
28321;Jaren;jaren;7600616;;60.393038;10.556302;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600118;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABE;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28321
28322;Bleiken;bleiken;7600617;;60.468358;10.500542;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600172;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABF;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28322
28323;Eina;eina;7600620;;60.630128;10.597419;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600014;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABI;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28323
28324;Raufoss;raufoss;7600622;;60.72189;10.613294;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600090;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABJ;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28324
28325;Gjøvik;gjovik;7600626;;60.796761;10.695527;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600058;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABL;f;;f;f;;;;;;;;;;;;;예비크;;;Йёвик;;;约维克;urn:trainline:public:nloc:csv28325
28326;Lillestrøm;lillestrom;7600207;;59.953411;11.045243;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600036;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABP;f;;f;f;;;;;;;;;;;;;;;;Лиллестрём;;;利勒斯特罗姆;urn:trainline:public:nloc:csv28326
28327;Jessheim;jessheim;7600212;;60.141987;11.176989;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600083;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABQ;f;;f;f;;;;;;;;;;;;;;;;Йессхейм;;;;urn:trainline:public:nloc:csv28327
28328;Eidsvoll;eidsvoll;7600216;;60.33085;11.248328;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600013;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABR;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28328
28329;Tangen;tangen;7600706;;60.615692;11.270135;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600175;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABS;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28329
28330;Stange;stange;7600708;;60.717773;11.195237;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600176;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABT;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28330
28331;Hamar;hamar;7600711;;60.791404;11.076912;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600024;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOABU;f;;f;f;;;;;;;;;;;;ハーマル;하마르;;;Хамар;;;哈马尔;urn:trainline:public:nloc:csv28331
